condition	seed	task_index	task	export_path	source	generated_with_parent	missing_parent_rows	selected_top_n	valid_selected
full-spectrum	2	1	Troglitazone_rediscovery	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260825_094623/runs/spectralmol/seed_2/case_GuacaMol_20260825_094623/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_26/2026_08_25_evolution_ga_Troglitazone_rediscovery/generator_top_molecules_lineage.csv	top-lineage	199	0	100	100
full-spectrum	2	2	Thiothixene_rediscovery	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260825_094640/runs/spectralmol/seed_2/case_GuacaMol_20260825_094640/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_43/2026_08_25_evolution_ga_Thiothixene_rediscovery/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	2	3	Aripiprazole_similarity	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_3_Aripiprazole_similarity/compare_GuacaMol_20260825_094640/runs/spectralmol/seed_2/case_GuacaMol_20260825_094640/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_43/2026_08_25_evolution_ga_Aripiprazole_similarity/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	2	4	Albuterol_similarity	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_4_Albuterol_similarity/compare_GuacaMol_20260825_094640/runs/spectralmol/seed_2/case_GuacaMol_20260825_094640/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_43/2026_08_25_evolution_ga_Albuterol_similarity/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	2	5	Mestranol_similarity	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_5_Mestranol_similarity/compare_GuacaMol_20260825_094642/runs/spectralmol/seed_2/case_GuacaMol_20260825_094643/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_45/2026_08_25_evolution_ga_Mestranol_similarity/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	2	6	C11H24	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_6_C11H24/compare_GuacaMol_20260825_094642/runs/spectralmol/seed_2/case_GuacaMol_20260825_094643/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_45/2026_08_25_evolution_ga_C11H24/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	2	7	C9H10N2O2PF2Cl	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260825_094649/runs/spectralmol/seed_2/case_GuacaMol_20260825_094650/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_56/2026_08_25_evolution_ga_C9H10N2O2PF2Cl/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	2	8	Median_molecules_1	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_8_Median_molecules_1/compare_GuacaMol_20260825_094654/runs/spectralmol/seed_2/case_GuacaMol_20260825_094655/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_57/2026_08_25_evolution_ga_Median_molecules_1/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	2	9	Median_molecules_2	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_2/task_9_Median_molecules_2/compare_GuacaMol_20260825_094654/runs/spectralmol/seed_2/case_GuacaMol_20260825_094654/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_46_58/2026_08_25_evolution_ga_Median_molecules_2/generator_top_molecules_lineage.csv	top-lineage	107	0	100	100
full-spectrum	3	0	Celecoxib_rediscovery	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_3/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260825_094722/runs/spectralmol/seed_3/case_GuacaMol_20260825_094722/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_47_26/2026_08_25_evolution_ga_Celecoxib_rediscovery/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
