condition	seed	task_index	task	export_path	source	initial_unique	generated_unique_novel	seed_duplicate_rows	selected_top_n	valid_selected
full-spectrum	1	4	Albuterol_similarity	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_1/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_52/2026_08_24_evolution_ga_Albuterol_similarity/generator_top_molecules.csv	generator-top	256	192	8	100	100
full-spectrum	1	5	Mestranol_similarity	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_5_Mestranol_similarity/compare_GuacaMol_20260824_150847/runs/spectralmol/seed_1/case_GuacaMol_20260824_150848/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Mestranol_similarity/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	1	6	C11H24	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_6_C11H24/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_C11H24/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	1	7	C9H10N2O2PF2Cl	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_C9H10N2O2PF2Cl/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	1	8	Median_molecules_1	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_8_Median_molecules_1/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Median_molecules_1/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	1	9	Median_molecules_2	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_9_Median_molecules_2/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_1/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Median_molecules_2/generator_top_molecules.csv	generator-top	256	163	37	100	100
full-spectrum	2	0	Celecoxib_rediscovery	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_151352/runs/spectralmol/seed_2/case_GuacaMol_20260824_151353/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_13_56/2026_08_24_evolution_ga_Celecoxib_rediscovery/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	2	10	Osimertinib_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_151413/runs/spectralmol/seed_2/case_GuacaMol_20260824_151415/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_25/2026_08_24_evolution_ga_Osimertinib_MPO/generator_top_molecules.csv	generator-top	256	158	42	100	100
full-spectrum	2	11	Fexofenadine_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_151413/runs/spectralmol/seed_2/case_GuacaMol_20260824_151415/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_25/2026_08_24_evolution_ga_Fexofenadine_MPO/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	2	12	Ranolazine_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_2/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_151408/runs/spectralmol/seed_2/case_GuacaMol_20260824_151410/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_14_22/2026_08_24_evolution_ga_Ranolazine_MPO/generator_top_molecules.csv	generator-top	256	150	50	100	100
