condition	seed	task_index	task	best_score	avg_score	evaluated	scores_csv	compare_root
low-only	0	9	Median_molecules_2	0.3863606522039072	0.07309019363486773	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_9_Median_molecules_2/compare_GuacaMol_20260824_153320/runs/spectralmol/seed_0/case_GuacaMol_20260824_153321/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_33_24/2026_08_24_evolution_ga_Median_molecules_2/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_0/task_9_Median_molecules_2/compare_GuacaMol_20260824_153320
low-only	1	0	Celecoxib_rediscovery	1.0	0.07053882595277228	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_153410/runs/spectralmol/seed_1/case_GuacaMol_20260824_153412/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_34_24/2026_08_24_evolution_ga_Celecoxib_rediscovery/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_153410
low-only	1	10	Osimertinib_MPO	0.8058577676402566	0.029603772869724942	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_153459/runs/spectralmol/seed_1/case_GuacaMol_20260824_153459/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_35_02/2026_08_24_evolution_ga_Osimertinib_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_153459
low-only	1	11	Fexofenadine_MPO	0.9982144954964556	0.2686129223219105	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_153510/runs/spectralmol/seed_1/case_GuacaMol_20260824_153512/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_35_23/2026_08_24_evolution_ga_Fexofenadine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_153510
low-only	1	12	Ranolazine_MPO	0.6925677830065992	0.030089991308793543	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_153505/runs/spectralmol/seed_1/case_GuacaMol_20260824_153506/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_35_08/2026_08_24_evolution_ga_Ranolazine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_153505
low-only	1	13	Perindopril_MPO	0.4364357804719847	0.007957057150845302	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_13_Perindopril_MPO/compare_GuacaMol_20260824_153514/runs/spectralmol/seed_1/case_GuacaMol_20260824_153515/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_35_17/2026_08_24_evolution_ga_Perindopril_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_13_Perindopril_MPO/compare_GuacaMol_20260824_153514
low-only	1	14	Amlodipine_MPO	0.8751899489873673	0.015236799122618092	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_153526/runs/spectralmol/seed_1/case_GuacaMol_20260824_153528/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_35_40/2026_08_24_evolution_ga_Amlodipine_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_153526
low-only	1	15	Sitagliptin_MPO	0.6393460994155079	0.018224290196674695	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_153520/runs/spectralmol/seed_1/case_GuacaMol_20260824_153521/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_35_23/2026_08_24_evolution_ga_Sitagliptin_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_153520
low-only	1	16	Zaleplon_MPO	0.6936365736837096	0.012626613562061123	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_153523/runs/spectralmol/seed_1/case_GuacaMol_20260824_153524/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_35_26/2026_08_24_evolution_ga_Zaleplon_MPO/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_153523
low-only	1	17	Valsartan_smarts	0.0139593793552943	3.078413675001087e-05	13056.0	PORTABLE_USER_ROOT/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_17_Valsartan_smarts/compare_GuacaMol_20260824_153523/runs/spectralmol/seed_1/case_GuacaMol_20260824_153524/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_35_26/2026_08_24_evolution_ga_Valsartan_smarts/scores.csv	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_merged_20260824_150715/low-only/seed_1/task_17_Valsartan_smarts/compare_GuacaMol_20260824_153523
